0.5,0.2701
1,0.2702
1.5,0.2722
2,0.2742
2.5,0.2762
3,0.2782
3.5,0.2802
4,0.2822
4.5,0.2842
5,0.2862
5.5,0.2882
6,0.2902
6.5,0.2922
7,0.2942
7.5,0.2962
8,0.2982
8.5,0.3002
9,0.3022
9.5,0.3042
10,0.3062
10.5,0.3082
11,0.3102
11.5,0.3122
12,0.461
12.5,0.65
13,0.84
13.5,1.03
14,1.22
14.5,1.41
15,1.6
15.5,1.79
16,1.98
16.5,2.17
17,2.36
17.5,2.55
18,2.74
18.5,2.93
19,3.12
19.5,3.31
20,3.5
20.5,3.69
21,3.88
21.5,4.07
22,4.26
22.5,4.45
23,4.64
23.5,4.83
24,5.02
24.5,5.21
25,5.4
25.5,5.59
26,5.78
26.5,5.97
27,6.16
27.5,6.35
28,6.54
28.5,6.73
29,6.92
29.5,7.11
30,7.3
30.5,7.49
31,7.68
31.5,7.87
32,8.06
32.5,8.25
33,8.44
33.5,8.63
34,8.82
34.5,9.01
35,9.2
35.5,9.39
36,9.49
36.5,9.492
37,9.494
37.5,10.27
38,10.272
38.5,10.274
39,10.276
39.5,10.278
40,10.28
40.5,10.282
41,10.284
41.5,10.286
42,10.288
42.5,10.29
43,10.292
43.5,10.28
44,10.28
44.5,10.28
45,10.28
45.5,10.28
46,10.28
46.5,10.28
47,10.28
47.5,10.28
48,10.28
48.5,10.28
49,10.28
49.5,10.28
50,10.28
50.5,10.28
51,10.28
51.5,10.28
52,10.28
52.5,10.28
53,10.28
53.5,10.28
54,10.28
54.5,10.28
55,10.28
55.5,10.28
56,10.28
56.5,10.28
57,10.28
57.5,10.28
58,10.28
58.5,10.28
59,10.28
59.5,10.28
60,10.28
60.5,10.28
61,10.28
61.5,10.28
